Наименование;Цена;Размеры;Ссылка;Описание;Фото
Модель П-0064;1300 р.;50-64;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0064;Платье полуприлегающего силуэта из костюмной ткани цвета бутылка. Рукав реглан, заканчивается манжетом с застёжкой на петлю и пуговицу. По переду застежка до талии на петлю и пуговицу. По горловине отложной воротник на стойке, в боковых швах карманы. Платье с поясом, по спинке средний шов со шлицей. Длина рукава с плечом 56 см. Длина изделия по спинке:размеры  50,52,54,56 - 101см., размеры 58,60 - 103см., размеры 62,64 - 105см.;
Модель П-0063;1000 р.;52-64;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0063;Купонное трикотажное платье, цветы на черном. Платье полуприлегающего силуэта,отрезное по линии талии, где заложены застрочные складки. По горловине заложены мягкие складочки и изюминка -  металлическая брошь со стразами (брошь входит в стоимость изделия). Сзади по среднему шву шлица. Рукав втачной. Длина рукава 30 см. Длина изделия: размеры 52,54,56,58,60 - 104см., размеры 62,64,66 - 106см.;
Модель П-0061;1100 р.;52-66;http://krassa-nsk.ru/index.php?route=product/product&path=63&product_id=137;Элегантное женское платье из фактурного жаккардового полотна цвета бутылка. Платье полуприлегающего силуэта, в боковых швах карманы. По переду фигурные рельефы. По горловине  выполнен фантазийный вырез, который украшен металлической  брошью со стразами (брошь входит в стоимость изделия). Металлические украшения могут быть заменены на идентичные на усмотрение производителя. Рукав втачной с манжетом. Длина рукава 48см. Длина изделия: размеры 52,54,56,58 - 102см., размеры 60,62,64,66 - 105см.;
Модель П-0060;1200 р.;52-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0060;"Платье из фактурного жаккарда цвета томат.  Спереди по линии талии заложены мягкие складки. Рукав цельноскроенный ""летучая мышь"". Платье с поясом. Длина рукава с плечом 46 см. Длина  изделия 104 см. К платью прилагается подвес, которые входит в стоимость изделия. Металлическая  фурнитура и украшения могут быть заменены на идентичные на усмотрение производителя.";
Модель П-0057;1200 р.;52-58;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0057;Женское платье из фактурного тонкого жаккардового полотна меланж на синем, силуэт трапеция. По переду в рельефах расположены карманы. Платье украшено подвесом (входит в стоимость изделия). Рукав втачной. Длина рукава 30см. Длина изделия: размеры 52,54 - 101см., размеры 56,58 - 103см., размеры 60,62,64,66 - 105см.;
Модель П-0055;1050 р.;52-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0055;Трикотажное женское платье цвета электрик.Платье струящегося силуэта трапеция. Подходит как на выход так и для офиса. На груди элегантная апликация из термостраз. Рукав втачной, короткий. Платье отрезное по переду под грудью, с таливыми вытачками для лучшего прилегания. Трапециевидный силуэт хорошо скроет все недостатки фигуры. Длина рукава 28 см. Длина изделия по спинке: размеры 52,54 - 101 см., размеры 56,58,60,62 - 105 см., размеры 64,66 - 107 см.;
Модель П-0053;1100 р.;52-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0053;Платье из однотонного фактурного трикотажа, А - образного силуэта. По переду платья декоративный цветок - вышивка из шелковых нитей. Рукав втачной. Длина рукава 42 см. Длина изделия: размеры 52,54 - 101см., размеры 56,58 - 103см., размеры 60,62,64,66 - 105 см.;
Модель П-0052;1100 р.;52-64;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0052;Элегантное женское платье из фактурного жаккардового полотна винного цвета. Платье полуприлегающего силуэта, в боковых швах карманы. По переду фигурные рельефы. По горловине  выполнен фантазийный вырез, который украшен металлической  брошью со стразами (брошь входит в стоимость изделия). Металлические украшения могут быть заменены на идентичные на усмотрение производителя. Рукав втачной с манжетом. Длина рукава 48см. Длина изделия: размеры 52,54,56,58 - 102см., размеры 60,62,64,66 - 105см.;
Модель П-0050;1200 р.;56-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0050;"Платье из фактурного жаккарда глубокого синего цвета.  Спереди по линии талии заложены мягкие складки. Рукав цельноскроенный ""летучая мышь"". Платье с поясом. Длина рукава с плечом 46 см. Длина  изделия 104 см. К платью прилагается подвес (украшение входит в стоимость изделия). Металлическая  фурнитура и украшения могут быть заменены на идентичные на усмотрение производителя.";
Модель П-0049;1100 р.;52-58;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0049;"Женское платье из трикотажного полотна с вискозой и эластаном. Тонкое полотно, с гладкой лицевой поверхностью,  цвета принт на синем. Платье полуприлегающего силуэта, рукав ""летучая мышь"", заканчивается манжетой с отлетными краями. Спереди платье с фигурным вырезом, по горловине металлическая брошь со стразами (брошь входит в  стоимость изделия). Металлические украшения могут быть заменены на идентичные на усмотрение производителя. Сзади по среднему шву шлица. Длина рукава с плечом 42 см. Длина изделия: размеры 52,54,56,58 - 102см., размеры 60,62,64,66 - 105см.";
